query_worm,source_path,node_index,identity,candidate_covered,prediction_slot,prediction_identity,rank,correct,top5_correct,reciprocal_rank,target_probability,dustbin_top1,top1_with_dustbin_correct,hungarian_prediction_slot,hungarian_correct
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,3,SMDVR,1,128,SMDVR,1,1,1,1.0,0.9280742406845093,0,1,128,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,7,RIVR,1,138,URXVR,5,0,1,0.2,0.022877287119627,0,0,138,0
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,9,RMEV,1,108,RMEV,1,1,1,1.0,0.9500589370727539,0,1,108,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,26,RID,1,91,RID,1,1,1,1.0,0.5458625555038452,0,1,91,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,33,AVAL,1,28,AVAL,1,1,1,1.0,0.9620029926300049,0,1,28,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,42,REMV,0,105,RMED,,0,0,0.0,,0,0,105,0
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,44,SMDDR,1,124,SMDDL,2,0,1,0.5,0.3550730347633362,0,0,124,0
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,47,RIAL,1,86,RIAL,1,1,1,1.0,0.9575806260108948,0,1,86,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,52,AWAR,1,7,ADFR,102,0,0,0.00980392156862745,2.227425188738863e-11,0,0,7,0
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,58,CEPDR,1,50,CEPDL,7,0,0,0.14285714285714285,0.037311095744371414,0,0,50,0
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,69,RMDR,1,94,RIMR,3,0,1,0.3333333333333333,0.06329495459794998,0,0,94,0
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,80,AVAR,1,29,AVAR,1,1,1,1.0,0.9619520902633667,0,1,29,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,100,RMDVR,1,104,RMDVR,1,1,1,1.0,0.9490646123886108,0,1,104,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,104,RMDVL,1,103,RMDVL,1,1,1,1.0,0.9598865509033203,0,1,103,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,108,SMDVL,1,126,SMDVL,1,1,1,1.0,0.8592665791511536,0,1,126,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,116,RIAR,1,87,RIAR,1,1,1,1.0,0.9487044215202332,0,1,87,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,117,SAAVR,1,113,SAAVR,1,1,1,1.0,0.9193141460418701,0,1,113,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,118,AFDR,1,10,AFDR,1,1,1,1.0,0.6148952841758728,0,1,10,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,121,SMDDL,1,119,SMBDL,2,0,1,0.5,0.139135479927063,0,0,119,0
20240904-16-13-38,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240904-16-13-38__f1471777.npz,5,RMEV,1,108,RMEV,1,1,1,1.0,0.8791816234588623,0,1,108,1
20240904-16-13-38,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240904-16-13-38__f1471777.npz,7,RMED,1,105,RMED,1,1,1,1.0,0.9615340828895569,0,1,105,1
20240904-16-13-38,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240904-16-13-38__f1471777.npz,9,AVER,1,35,AVER,1,1,1,1.0,0.9326425194740295,0,1,35,1
20240904-16-13-38,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240904-16-13-38__f1471777.npz,26,ADFR,1,7,ADFR,1,1,1,1.0,0.8972746133804321,0,1,7,1
20240904-16-13-38,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240904-16-13-38__f1471777.npz,28,ALA,1,21,ALA,1,1,1,1.0,0.9387649893760681,0,1,21,1
20240904-16-13-38,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240904-16-13-38__f1471777.npz,32,RIVR,1,96,RIVR,1,1,1,1.0,0.8326417207717896,0,1,96,1
20240904-16-13-38,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240904-16-13-38__f1471777.npz,36,SMDVL,1,126,SMDVL,1,1,1,1.0,0.7860703468322754,0,1,126,1
20240904-16-13-38,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240904-16-13-38__f1471777.npz,37,RMDDR,1,99,RMDDR,1,1,1,1.0,0.40400412678718567,0,1,99,1
20240904-16-13-38,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240904-16-13-38__f1471777.npz,40,RIAL,1,86,RIAL,1,1,1,1.0,0.8041894435882568,0,1,86,1
20240904-16-13-38,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240904-16-13-38__f1471777.npz,43,RMDL,1,99,RMDDR,2,0,1,0.5,0.42239853739738464,0,0,100,1
20240904-16-13-38,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240904-16-13-38__f1471777.npz,52,URXL,1,135,URXL,1,1,1,1.0,0.5842252969741821,0,1,135,1
20240904-16-13-38,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240904-16-13-38__f1471777.npz,57,RIVL,1,95,RIVL,1,1,1,1.0,0.9607055187225342,0,1,95,1
20240904-16-13-38,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240904-16-13-38__f1471777.npz,60,SMDVR,1,128,SMDVR,1,1,1,1.0,0.9226194620132446,0,1,128,1
