query_worm,source_path,node_index,identity,candidate_covered,prediction_slot,prediction_identity,rank,correct,top5_correct,reciprocal_rank,target_probability,dustbin_top1,top1_with_dustbin_correct,hungarian_prediction_slot,hungarian_correct
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,3,RMED,1,85,RMED,1,1,1,1.0,0.9581716060638428,0,1,85,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,7,RMEV,1,88,RMEV,1,1,1,1.0,0.9585421681404114,0,1,88,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,8,RID,1,74,RID,1,1,1,1.0,0.830289900302887,0,1,74,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,10,SMDVL,1,104,SMDVL,1,1,1,1.0,0.9576075077056885,0,1,104,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,11,RMDVL,1,83,RMDVL,1,1,1,1.0,0.9518149495124817,0,1,83,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,26,AVEL,1,32,AVEL,1,1,1,1.0,0.9052668809890747,0,1,32,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,27,SMDVR,1,105,SMDVR,1,1,1,1.0,0.9577873945236206,0,1,105,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,30,AVAR,1,28,AVAR,1,1,1,1.0,0.9265747666358948,0,1,28,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,39,CEPDL,1,45,CEPDL,1,1,1,1.0,0.5586476922035217,0,1,45,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,45,AFDR,1,10,AFDR,1,1,1,1.0,0.5667192935943604,0,1,10,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,53,RMDR,1,82,RMDR,1,1,1,1.0,0.8575186729431152,0,1,82,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,57,RMDVR,1,84,RMDVR,1,1,1,1.0,0.9575669169425964,0,1,84,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,68,ALA,1,19,ALA,1,1,1,1.0,0.9457724690437317,0,1,19,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,72,RIVL,1,77,RIVL,1,1,1,1.0,0.33842000365257263,1,0,77,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,83,AVAL,1,27,AVAL,1,1,1,1.0,0.9574850797653198,0,1,27,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,104,AFDL,1,70,RIAL,4,0,1,0.25,0.006468314677476883,0,0,70,0
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,105,AWAL,1,40,AWAL,1,1,1,1.0,0.32706350088119507,1,0,40,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,106,RMDL,1,81,RMDL,1,1,1,1.0,0.555070698261261,0,1,81,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,108,RIAR,1,71,RIAR,1,1,1,1.0,0.8402261734008789,0,1,71,1
20240902-16-53-12,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240902-16-53-12__d37b2c72.npz,110,AWBL,0,34,AVHL,,0,0,0.0,,1,0,34,0
20240904-14-55-14,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240904-14-55-14__9a84acb1.npz,5,RMED,1,85,RMED,1,1,1,1.0,0.9545701146125793,0,1,85,1
20240904-14-55-14,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240904-14-55-14__9a84acb1.npz,6,SMDVR,1,105,SMDVR,1,1,1,1.0,0.9501366019248962,0,1,105,1
20240904-14-55-14,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_4/test/test__20240904-14-55-14__9a84acb1.npz,7,RID,1,74,RID,1,1,1,1.0,0.6628112196922302,0,1,74,1
