query_worm,source_path,node_index,identity,candidate_covered,prediction_slot,prediction_identity,rank,correct,top5_correct,reciprocal_rank,target_probability,dustbin_top1,top1_with_dustbin_correct,hungarian_prediction_slot,hungarian_correct
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,0,M1,1,80,M1,1,1,1,1.0,0.9559822678565979,0,1,80,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,1,NSML,1,141,URAVL,2,0,1,0.5,0.4461205005645752,0,0,141,0
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,2,ASGL,1,138,SMDVR,10,0,0,0.1,0.0031211203895509243,0,0,138,0
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,3,FLPL,1,58,FLPL,1,1,1,1.0,0.9127963781356812,0,1,58,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,4,AQR,1,19,AQR,1,1,1,1.0,0.8953052759170532,0,1,19,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,5,ASER,1,21,ASER,1,1,1,1.0,0.48596078157424927,0,1,21,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,7,I1L,1,60,I1L,1,1,1,1.0,0.9383949041366577,0,1,60,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,9,AIBR,1,9,AIBR,1,1,1,1.0,0.9534238576889038,0,1,9,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,11,I2L,1,62,I2L,1,1,1,1.0,0.8084491491317749,0,1,62,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,12,IL2DL,1,74,IL2DL,1,1,1,1.0,0.8708743453025818,0,1,74,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,14,RID,1,102,RID,1,1,1,1.0,0.9544673562049866,0,1,102,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,15,ADLL,1,4,ADLL,1,1,1,1.0,0.850515604019165,0,1,4,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,17,AWCR,1,51,AWCR,1,1,1,1.0,0.8980395793914795,0,1,51,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,18,RMDL,1,113,RMDL,1,1,1,1.0,0.33563241362571716,1,0,113,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,19,AVAL,1,32,AVAL,1,1,1,1.0,0.5473011136054993,0,1,46,0
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,20,I6,1,2,ADEL,2,0,1,0.5,0.0507989302277565,0,0,2,0
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,21,URYVR,1,150,URYVR,1,1,1,1.0,0.9507063031196594,0,1,150,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,22,RMDVL,1,115,RMDVL,1,1,1,1.0,0.9464364647865295,0,1,115,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,25,NSMR,1,86,MCR,2,0,1,0.5,0.0764789804816246,0,0,86,0
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,27,M3L,1,81,M3L,1,1,1,1.0,0.923395037651062,0,1,81,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,29,AWBL,1,48,AWBL,1,1,1,1.0,0.631521999835968,0,1,48,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,30,AVDL,1,36,AVDL,1,1,1,1.0,0.9474741816520691,0,1,36,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,31,IL1VL,1,56,CEPVL,2,0,1,0.5,0.21146529912948608,0,0,56,0
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,32,M4,1,83,M4,1,1,1,1.0,0.6231228709220886,0,1,83,1
